央视频道,#genre#
中央一台,http://39.134.61.219/PLTV/88888888/224/3221226415/index.m3u8
中央一台,http://39.134.61.219/PLTV/88888888/224/3221226443/index.m3u8
中央一台,http://39.134.61.219/PLTV/88888888/224/3221226556/index.m3u8
中央二台,http://39.134.61.219/PLTV/88888888/224/3221226417/index.m3u8
中央二台,http://39.134.61.219/PLTV/88888888/224/3221227023/index.m3u8
中央二台,http://39.134.61.219/PLTV/88888888/224/3221226929/index.m3u8
中央三台,http://39.134.61.219/PLTV/88888888/224/3221226898/index.m3u8
中央三台,http://39.134.61.219/PLTV/88888888/224/3221226898/index.m3u8
中央三台,http://39.134.61.219/PLTV/88888888/224/3221227058/index.m3u8
中央四台,http://39.134.61.219/PLTV/88888888/224/3221226432/index.m3u8
中央四台,http://39.134.61.219/PLTV/88888888/224/3221227064/index.m3u8
中央四台,http://39.134.61.219/PLTV/88888888/224/3221226845/index.m3u8
中央四台,http://39.134.61.219/PLTV/88888888/224/3221227098/index.m3u8
中央四台,http://39.134.61.219/PLTV/88888888/224/3221227084/index.m3u8
中央四台,http://39.134.61.219/PLTV/88888888/224/3221226995/index.m3u8
中央五台,http://39.134.61.219/PLTV/88888888/224/3221226900/index.m3u8
中央五台,http://39.134.61.219/PLTV/88888888/224/3221227021/index.m3u8
中央五台,http://39.134.61.219/PLTV/88888888/224/3221227029/index.m3u8
中央五台,http://39.134.61.219/PLTV/88888888/224/3221227035/index.m3u8
中央五+,http://39.134.61.219/PLTV/88888888/224/3221226445/index.m3u8
中央五+,http://39.134.61.219/PLTV/88888888/224/3221226611/index.m3u8
中央五+,http://39.134.61.219/PLTV/88888888/224/3221226912/index.m3u8
中央五+,http://39.134.61.219/PLTV/88888888/224/3221227092/index.m3u8
中央六台,http://39.134.61.219/PLTV/88888888/224/3221226847/index.m3u8
中央六台,http://39.134.61.219/PLTV/88888888/224/3221227128/index.m3u8
中央六台,http://39.134.61.219/PLTV/88888888/224/3221227060/index.m3u8
中央六台,http://39.134.61.219/PLTV/88888888/224/3221226847/index.m3u8
中央六台,http://39.134.61.219/PLTV/88888888/224/3221226891/index.m3u8
中央七台,http://39.134.61.219/PLTV/88888888/224/3221226640/index.m3u8
中央八台,http://39.134.61.219/PLTV/88888888/224/3221226902/index.m3u8
中央八台,http://39.134.61.219/PLTV/88888888/224/3221226902/index.m3u8
中央九台,http://39.134.61.219/PLTV/88888888/224/3221226470/index.m3u8
中央九台,http://39.134.61.219/PLTV/88888888/224/3221226849/index.m3u8
中央九台,http://39.134.61.219/PLTV/88888888/224/3221226976/index.m3u8
中央九台,http://39.134.61.219/PLTV/88888888/224/3221226923/index.m3u8
中央十台,http://39.134.61.219/PLTV/88888888/224/3221226462/index.m3u8
中央十台,http://39.134.61.219/PLTV/88888888/224/3221227048/index.m3u8
中央十台,http://39.134.61.219/PLTV/88888888/224/3221227046/index.m3u8
中央十台,http://39.134.61.219/PLTV/88888888/224/3221226907/index.m3u8
中央十一台,http://39.134.61.219/PLTV/88888888/224/3221226558/index.m3u8
中央十一台,http://39.134.61.219/PLTV/88888888/224/3221227048/index.m3u8
中央十一台,http://39.134.61.219/PLTV/88888888/224/3221226851/index.m3u8
中央十二台,http://39.134.61.219/PLTV/88888888/224/3221226439/index.m3u8
中央十二台,http://39.134.61.219/PLTV/88888888/224/3221227042/index.m3u8
中央十二台,http://39.134.61.219/PLTV/88888888/224/3221226921/index.m3u8
中央十二台,http://39.134.61.219/PLTV/88888888/224/3221226906/index.m3u8
中央十三台,http://39.134.61.219/PLTV/88888888/224/3221226853/index.m3u8
中央十三台,http://39.134.61.219/PLTV/88888888/224/3221226852/index.m3u8
中央十三台,http://39.134.61.219/PLTV/88888888/224/3221227019/index.m3u8
中央十三台,http://39.134.61.219/PLTV/88888888/224/3221226853/index.m3u8
中央十四台,http://39.134.61.219/PLTV/88888888/224/3221226464/index.m3u8
中央十四台,http://39.134.61.219/PLTV/88888888/224/3221226908/index.m3u8
中央十四台,http://39.134.61.219/PLTV/88888888/224/3221226978/index.m3u8
中央十五台,http://39.134.61.219/PLTV/88888888/224/3221226498/index.m3u8
中央十五台,http://39.134.61.219/PLTV/88888888/224/3221226855/index.m3u8
中央十五台,http://39.134.61.219/PLTV/88888888/224/3221227040/index.m3u8
中央十五台,http://39.134.61.219/PLTV/88888888/224/3221227038/index.m3u8
中央十五台,http://39.134.61.219/PLTV/88888888/224/3221226927/index.m3u8
中央十六台,http://39.134.61.219/PLTV/88888888/224/3221226773/index.m3u8
中央十六台,http://39.134.61.219/PLTV/88888888/224/3221226910/index.m3u8
中央十六台,http://39.134.61.219/PLTV/88888888/224/3221226910/index.m3u8
中央十六台,http://39.134.61.219/PLTV/88888888/224/3221226834/index.m3u8
中央十七台,http://39.134.65.183/PLTV/88888888/224/3221225708/1.m3u8
央视台球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
央视台球,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000002496/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
chc高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CETV1,http://39.134.61.219/PLTV/88888888/224/3221226518/index.m3u8
CETV1,http://39.134.61.219/PLTV/88888888/224/3221226947/index.m3u8
CETV2,http://39.134.61.219/PLTV/88888888/224/3221226919/index.m3u8
CETV3,http://39.134.61.219/PLTV/88888888/224/3221226631/index.m3u8
CETV4,http://39.134.61.219/PLTV/88888888/224/3221226666/index.m3u8
CETV4http://39.134.61.219/PLTV/88888888/224/3221226668/index.m3u8
欢笑剧场4k,http://39.134.61.219/PLTV/88888888/224/3221226687/index.m3u8
都市剧场,http://39.134.61.219/PLTV/88888888/224/3221227028/index.m3u8
纪实科教,http://39.134.61.219/PLTV/88888888/224/3221226472/index.m3u8
动漫秀场,http://39.134.61.219/PLTV/88888888/224/3221227032/index.m3u8
咪咕视频1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
咪咕视频1,http://39.134.61.219/PLTV/88888888/224/3221226956/index.m3u8
咪咕视频2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
咪咕视频2,http://39.134.61.219/PLTV/88888888/224/3221227031/index.m3u8
咪咕视频3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
咪咕视频3,http://39.134.61.219/PLTV/88888888/224/3221227033/index.m3u8
咪咕视频4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
咪咕视频4,http://39.134.61.219/PLTV/88888888/224/3221227039/index.m3u8
咪咕视频5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
咪咕视频5,http://39.134.61.219/PLTV/88888888/224/3221227041/index.m3u8
咪咕视频5,http://39.134.61.219/PLTV/88888888/224/3221227059/index.m3u8
苏州4K频道,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
家庭理财,http://39.134.61.219/PLTV/88888888/224/3221226538/index.m3u8
宜家购物,http://39.134.61.219/PLTV/88888888/224/3221226624/index.m3u8
游戏风云,http://39.134.61.219/PLTV/88888888/224/3221226933/index.m3u8
波哒体育,http://39.134.61.219/PLTV/88888888/224/3221226711/index.m3u8
乐游,http://39.134.61.219/PLTV/88888888/224/3221227008/index.m3u8
