央视频道,#genre#
CCTV1,http://39.134.52.215:80/PLTV/88888888/224/3221226896/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226746/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226709/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226748/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226443/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226750/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226556/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226443/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226556/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226709/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226746/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226748/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226750/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226896/index.m3u8
CCTV2,http://39.134.52.215:80/PLTV/88888888/224/3221226843/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226468/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226608/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226468/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226608/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226843/index.m3u8
CCTV3,http://39.134.52.215:80/PLTV/88888888/224/3221227065/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226898/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226898/index.m3u8
CCTV4,http://39.134.52.215:80/PLTV/88888888/224/3221226845/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226636/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226517/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226636/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226845/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226517/index.m3u8
CCTV5,http://39.134.52.215:80/PLTV/88888888/224/3221226900/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221227126/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226445/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226900/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226802/index.m3u8#http://z.b.bkpcp.top/m.php?id=cctv5
CCTV6,http://39.134.52.215:80/PLTV/88888888/224/3221226847/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221227128/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221227060/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226640/index.m3u8
CCTV7,http://39.134.52.215:80/PLTV/88888888/224/3221227067/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226640/index.m3u8
CCTV8,http://39.134.52.215:80/PLTV/88888888/224/3221226902/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221227130/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226902/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226903/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226903/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226946/index.m3u8
CCTV9,http://39.134.52.215:80/PLTV/88888888/224/3221226849/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226470/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226470/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226849/index.m3u8
CCTV10,http://39.134.52.215:80/PLTV/88888888/224/3221226904/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226462/index.m3u8#http://39.134.52.215:80/PLTV/88888888/224/3221226604/index.m3u8#http://39.134.52.215/PLTV/88888888/224/3221226904/index.m3u8
